feature	pathway	gene_signature_definition
0	Pyruvate metabolism PAO1	PA5297
0	Putative sorbitol/mannitol transport system	PA3187
0	Glycine, serine and threonine metabolism PAO1	PA2446
0	Type II general secretion pathway	PA0681;PA0679;PA0685;PA0678;PA0682;PA0680
0	Phosphate transport system	PA5366;PA2548;PA5367;PA5369;PA5368
0	Phosphonate and phosphinate metabolism PAO1	PA3378;PA3375;PA3377;PA3374;PA3380;PA3379
0	Aminobenzoate degradation PAO1	PA2514;PA2512;PA3296;PA3910;PA2513
0	Glyoxylate and dicarboxylate metabolism PAO1	PA2444
0	Glycerophospholipid metabolism PAO1	PA3319;PA0347;PA0844;PA4351;PA2352
0	Bacterial secretion system PAO1	PA0677
0	Amino sugar and nucleotide sugar metabolism PAO1	PA2022
0	Phosphonate transport system	PA3382;PA3384;PA3383
1	Arginine biosynthesis PAO1	PA5508
1	Biotin metabolism PAO1	PA1806
1	Nicotinate and nicotinamide metabolism PAO1	PA3618
1	Porphyrin and chlorophyll metabolism PAO1	PA1279
1	Type II general secretion pathway	PA3096
1	Cytochrome c oxidase, cbb3-type	PA1552
1	Riboflavin metabolism PAO1	PA3446
1	Aminobenzoate degradation PAO1	PA2514;PA2513
1	Glycerophospholipid metabolism PAO1	PA0844
1	Butanoate metabolism PAO1	PA5445
1	Putative ABC transport system	PA4594
1	Purine metabolism PAO1	PA5298;PA4867;PA0934
1	Chloroalkane and chloroalkene degradation PAO1	PA1982
1	Lipopolysaccharide biosynthesis PAO1	PA5010;PA4988
2	Pyruvate metabolism PAO1	PA3416;PA1217;PA3417
2	Valine, leucine and isoleucine degradation PAO1	PA2247
2	Bacterial chemotaxis PAO1	PA0180;PA1930;PA0177;PA0178;PA0179;PA0174;PA2573;PA0175;PA0176
2	Type VI secretion system	PA2360;PA2369;PA2366;PA2367;PA2368;PA2371;PA2365;PA2373;PA2370
2	Glyoxylate and dicarboxylate metabolism PAO1	PA5213;PA2445;PA2446;PA2444;PA2553
2	Tryptophan metabolism PAO1	PA0704
2	Flagellar assembly PAO1	PA1094;PA1095;PA1092;PA1080
2	Butanoate metabolism PAO1	PA2003;PA5058
2	Quorum sensing PAO1	PA1874;PA2570;PA1871;PA3250
2	Nitrogen metabolism PAO1	PA4588;PA0523;PA5035;PA0524
2	Oxidative phosphorylation PAO1	PA0106;PA0105;PA0107
2	Lipopolysaccharide biosynthesis PAO1	PA4517
2	Cationic antimicrobial peptide (CAMP) resistance PAO1	PA1249
2	Sulfur metabolism PAO1	PA2566
3	Pyruvate metabolism PAO1	PA4470;PA1217
3	Arginine biosynthesis PAO1	PA1337
3	Arginine and proline metabolism PAO1	PA4773;PA4774
3	Macrolide resistance, MacAB-TolC transporter	PA2390;PA2389
3	Glycine, serine and threonine metabolism PAO1	PA2413;PA2442;PA2444
3	beta-Lactam resistance PAO1	PA5471
3	Dissimilatory nitrate reduction, nitrate => ammonia	PA1173
3	Monobactam biosynthesis PAO1	PA2412
3	Histidine metabolism PAO1	PA2531;PA5106
3	Zinc transport system	PA2409;PA2408;PA2407
3	Glutamate/aspartate transport system	PA1342;PA1340
3	Cationic antimicrobial peptide (CAMP) resistance PAO1	PA3552
3	Nitrogen metabolism PAO1	PA1174
3	Cyanoamino acid metabolism PAO1	PA1338
3	Iron complex transport system	PA4708
4	Pyruvate metabolism PAO1	PA4771
4	Nicotinate and nicotinamide metabolism PAO1	PA4918;PA4919
4	beta-Lactam resistance PAO1	PA2018
4	Ubiquinone and other terpenoid-quinone biosynthesis PAO1	PA0254
4	Bacterial secretion system PAO1	PA3294
4	Flagellar assembly PAO1	PA1094;PA1086;PA1095;PA1092;PA1087
4	Histidine metabolism PAO1	PA3151;PA3152
4	Amino sugar and nucleotide sugar metabolism PAO1	PA3148;PA3159;PA3155;PA3158;PA3156
4	Aminoacyl-tRNA biosynthesis, prokaryotes	PA2739
4	Sulfur metabolism PAO1	PA2104;PA2105
5	Pyruvate metabolism PAO1	PA0887;PA4640;PA5445;PA1984
5	Arginine biosynthesis PAO1	PA5172
5	Pentose phosphate pathway PAO1	PA2321
5	Arginine and proline metabolism PAO1	PA0421;PA0895;PA0393;PA1421
5	RNA degradation PAO1	PA0336
5	NitT/TauT family transport system	PA2599;PA2328
5	Bacterial chemotaxis PAO1	PA4307
5	Type VI secretion system	PA2365;PA2366;PA2367
5	Benzoate degradation PAO1	PA2083
5	Glyoxylate and dicarboxylate metabolism PAO1	PA5355;PA4812;PA2444;PA5508
5	Multidrug resistance, efflux pump TriABC-TolC	PA0157
5	Cysteine and methionine metabolism PAO1	PA0390
5	Flagellar assembly PAO1	PA1081
5	D-Methionine transport system	PA3931
5	Vancomycin resistance PAO1	PA5302
5	Putative polar amino acid transport system	PA2204
5	Quorum sensing PAO1	PA4910;PA3250
5	Hemophore/metalloprotease transport system	PA1247
5	Aminoacyl-tRNA biosynthesis PAO1	PA4482
5	Phenylalanine metabolism PAO1	PA5304
5	Oxidative phosphorylation PAO1	PA3929
5	Cationic antimicrobial peptide (CAMP) resistance PAO1	PA1249
5	Sulfur metabolism PAO1	PA4443;PA3445;PA3442;PA3446;PA2310;PA3937;PA2596;PA3443;PA3935;PA0283;PA2594;PA2600;PA3444;PA2598;PA3936;PA3448;PA3938;PA4442
5	Terpenoid backbone biosynthesis PAO1	PA4569;PA4043
6	Pentose phosphate pathway PAO1	PA2261
6	Glycine, serine and threonine metabolism PAO1	PA1326;PA2413;PA2445;PA2446
6	Base excision repair PAO1	PA5147
6	Ribosome PAO1	PA4250
6	Type VI secretion system	PA1658;PA2365;PA2366
6	Glyoxylate and dicarboxylate metabolism PAO1	PA4810;PA5522;PA2444
6	Vanadium resistance, efflux pump MexGHI-OpmD	PA4205
6	Flagellar assembly PAO1	PA1092
6	Amino sugar and nucleotide sugar metabolism PAO1	PA3559
6	Quorum sensing PAO1	PA1874;PA1871;PA3724;PA3477;PA1902;PA2570;PA3361;PA1904;PA1905;PA3478;PA3479
6	Phospholipid transport system	PA4452
6	Oxidative phosphorylation PAO1	PA4031;PA1317;PA1319;PA1318;PA1320;PA5554;PA5556;PA5555
6	2-Oxocarboxylic acid metabolism PAO1	PA1217
6	Cationic antimicrobial peptide (CAMP) resistance PAO1	PA3554;PA3558
6	Sulfur metabolism PAO1	PA2566
6	Putrescine transport system	PA2592
7	Pyruvate metabolism PAO1	PA5435;PA4771;PA5436;PA1984
7	Multidrug resistance, efflux pump MexPQ-OpmE	PA3523
7	Type III secretion system	PA1701
7	Pentose phosphate pathway PAO1	PA1950
7	Arginine and proline metabolism PAO1	PA4908
7	Sulfate-sulfur assimilation	PA4130
7	Ribosome PAO1	PA3600
7	Bacterial chemotaxis PAO1	PA2561
7	Fatty acid degradation PAO1	PA5349
7	Aminobenzoate degradation PAO1	PA2514;PA2512;PA3366;PA2513
7	Glyoxylate and dicarboxylate metabolism PAO1	PA4810;PA5353
7	Styrene degradation PAO1	PA2008;PA2007;PA2009
7	Folate biosynthesis PAO1	PA3914;PA3918;PA3870
7	Quorum sensing PAO1	PA3364
7	Purine metabolism PAO1	PA1124
7	Nitrogen metabolism PAO1	PA4588;PA3876;PA3875;PA3877
7	Putrescine transport system	PA2711
8	Pyruvate metabolism PAO1	PA5436
8	Geraniol degradation PAO1	PA2891
8	Base excision repair PAO1	PA0750
8	Ribosome PAO1	PA4252
8	Multidrug resistance, efflux pump MexAB-OprM	PA4375
8	Aminobenzoate degradation PAO1	PA2513
8	Cysteine and methionine metabolism PAO1	PA3004
8	Bacterial secretion system PAO1	PA0679;PA1725
8	Flagellar assembly PAO1	PA1104
8	Butanoate metabolism PAO1	PA3506
8	Histidine metabolism PAO1	PA3151;PA3152
8	Amino sugar and nucleotide sugar metabolism PAO1	PA3148
8	Quorum sensing PAO1	PA0602
8	Purine metabolism PAO1	PA4443;PA4867
8	Glutathione metabolism PAO1	PA4401
8	Lipopolysaccharide biosynthesis PAO1	PA2981
8	Denitrification, nitrate => nitrogen	PA3392
9	Cytochrome c oxidase, cbb3-type	PA1856
9	Type III secretion system	PA1719;PA1691;PA1722;PA1701;PA1698;PA1695;PA1690;PA1697;PA1725;PA1723;PA1724;PA1694;PA1716;PA1692;PA1717;PA1696;PA1693;PA1703
9	Denitrification, nitrate => nitrogen	PA0524;PA0519;PA0523
9	Ribosome PAO1	PA3600
