feature	pathway	gene_signature_definition
0	Porphyrin and chlorophyll metabolism PAO1	PA5523
0	NitT/TauT family transport system	PA3514
0	Type VI secretion system	PA2363
0	Glyoxylate and dicarboxylate metabolism PAO1	PA2250;PA5522;PA5119;PA2442
0	Phenazine biosynthesis PAO1	PA0999
0	Phospholipid transport system	PA4452
0	Type III secretion system	PA1717
1	Pyruvate metabolism PAO1	PA5435;PA4733
1	Iron(III) transport system	PA4687
1	beta-Oxidation	PA3013
1	Porphyrin and chlorophyll metabolism PAO1	PA5259
1	beta-Lactam resistance PAO1	PA0427;PA3005
1	Ribosome PAO1	PA5570;PA4244
1	Histidine metabolism PAO1	PA3151;PA4939;PA3152
1	Ubiquinone and other terpenoid-quinone biosynthesis PAO1	PA5063
1	Alanine, aspartate and glutamate metabolism PAO1	PA4758;PA3356
1	Biosynthesis of unsaturated fatty acids PAO1	PA5371
1	Riboflavin biosynthesis, GTP => riboflavin/FMN/FAD	PA4053
1	Vancomycin resistance PAO1	PA4412
1	Flagellar assembly PAO1	PA3352
1	Glutamate/aspartate transport system	PA1342
1	Amino sugar and nucleotide sugar metabolism PAO1	PA3159
1	Ribosome, bacteria	PA3742
1	Quorum sensing PAO1	PA3822
1	Glutathione metabolism PAO1	PA4401
1	Pyrimidine metabolism PAO1	PA5337
1	Glycolysis / Gluconeogenesis PAO1	PA5110
1	Base excision repair PAO1	PA3495;PA5332
2	Pyruvate metabolism PAO1	PA3416
2	Pentose phosphate pathway PAO1	PA2290
2	Porphyrin and chlorophyll metabolism PAO1	PA0510
2	Glycine, serine and threonine metabolism PAO1	PA2445;PA2446
2	Denitrification, nitrate => nitrogen	PA0524
2	Bacterial chemotaxis PAO1	PA0180;PA1930
2	Type VI secretion system	PA2371;PA2365;PA2366;PA2370
2	Vanadium resistance, efflux pump MexGHI-OpmD	PA4205;PA4208
2	gamma-Hexachlorocyclohexane transport system	PA3212
2	Butanoate metabolism PAO1	PA5058
2	Phenazine biosynthesis PAO1	PA4217
2	Amino sugar and nucleotide sugar metabolism PAO1	PA3551
2	Quorum sensing PAO1	PA1874;PA2570;PA4206;PA1871;PA4207
2	Nitrogen metabolism PAO1	PA3392;PA0519
2	Pyrimidine metabolism PAO1	PA0403;PA0401
2	Citrate cycle (TCA cycle) PAO1	PA3415
2	Oxidative phosphorylation PAO1	PA0106;PA0108;PA0105;PA0107
2	Sulfur metabolism PAO1	PA2566;PA0518;PA4130
3	Phosphotransferase system (PTS) PAO1	PA4464
3	Arginine and proline metabolism PAO1	PA4565
3	Ribosome PAO1	PA4567;PA4563;PA3742;PA5315;PA4250;PA4242;PA2742
3	Bacterial chemotaxis PAO1	PA1457
3	Phosphate transport system	PA2548
3	Streptomycin biosynthesis PAO1	PA5163
3	Amino sugar and nucleotide sugar metabolism PAO1	PA5549
3	Ribosome, bacteria	PA4249;PA4254
3	Spermidine/putrescine transport system	PA0204
3	Citrate cycle (TCA cycle) PAO1	PA5192;PA1588
3	Oxidative phosphorylation PAO1	PA4429;PA5555
3	2-Oxocarboxylic acid metabolism PAO1	PA3792;PA1580;PA4694;PA3506
4	Pyruvate metabolism PAO1	PA0494;PA5445;PA1984;PA4771
4	Pentose phosphate pathway PAO1	PA3373
4	Arginine and proline metabolism PAO1	PA4839;PA0782
4	Macrolide resistance, MacAB-TolC transporter	PA1179
4	beta-Lactam resistance PAO1	PA0958
4	Dipeptide transport system	PA4504;PA4505;PA4503;PA4502
4	Propanoate metabolism PAO1	PA3568
4	Chlorocyclohexane and chlorobenzene degradation PAO1	PA2682
4	Benzoate degradation PAO1	PA2507;PA0228;PA2508;PA2509
4	Aminobenzoate degradation PAO1	PA2514;PA2512;PA2513
4	Glycerophospholipid metabolism PAO1	PA3584
4	Vanadium resistance, efflux pump MexGHI-OpmD	PA4205
4	Butanoate metabolism PAO1	PA0226;PA0227
4	Phenazine biosynthesis PAO1	PA4217
4	Putative ABC transport system	PA2857
4	Quorum sensing PAO1	PA4913;PA4497;PA4909;PA4912;PA4911
4	Glutathione metabolism PAO1	PA1287
4	Phenylalanine metabolism PAO1	PA0865
4	Methane metabolism PAO1	PA3628;PA5421
4	Glycerolipid metabolism PAO1	PA2862
4	Cyanoamino acid metabolism PAO1	PA2193
4	Fatty acid biosynthesis PAO1	PA4786
5	Degradation of aromatic compounds PAO1	PA2507
5	Glycine, serine and threonine metabolism PAO1	PA5372;PA5379;PA5415;PA5419;PA5417;PA5416;PA5418
5	Valine, leucine and isoleucine degradation PAO1	PA0132
5	beta-Lactam resistance PAO1	PA3721
5	Tetrahydrofolate biosynthesis, GTP => THF	PA0582;PA0583
5	Bacterial chemotaxis PAO1	PA1646
5	Glyoxylate and dicarboxylate metabolism PAO1	PA5420;PA5508
5	Butanoate metabolism PAO1	PA0227
5	Glycine betaine/proline transport system	PA5378;PA3236;PA5377;PA5388;PA5376
5	Quorum sensing PAO1	PA4913;PA0844
5	Methane metabolism PAO1	PA3628;PA5421
5	Lysine degradation PAO1	PA1252
5	Glycolysis / Gluconeogenesis PAO1	PA3629;PA1982;PA1984;PA5422
6	Porphyrin and chlorophyll metabolism PAO1	PA0510
6	Glycine, serine and threonine metabolism PAO1	PA2446;PA5415;PA2445;PA2442;PA2444;PA2443
6	Denitrification, nitrate => nitrogen	PA0524;PA3392;PA0519;PA0523
6	Tyrosine metabolism PAO1	PA2008;PA0865;PA2007;PA2009
6	Phenylalanine, tyrosine and tryptophan biosynthesis PAO1	PA0025
6	Fructose and mannose metabolism PAO1	PA3551
6	Aminobenzoate degradation PAO1	PA2514;PA2512;PA2513
6	Vanadium resistance, efflux pump MexGHI-OpmD	PA4206;PA4205;PA4208;PA4207
6	Cysteine and methionine metabolism PAO1	PA4773;PA4774
6	D-Methionine transport system	PA3931
6	Vancomycin resistance PAO1	PA5302
6	Putative polar amino acid transport system	PA2204;PA2203;PA4193;PA4192;PA2202;PA4195;PA4194
6	Purine metabolism PAO1	PA3516
6	Oxidative phosphorylation PAO1	PA2691;PA1317;PA1320;PA1856
