feature	pathway	gene_signature_definition
0	Type III secretion system	PA1696;PA1693;PA1692;PA1716
0	Porphyrin and chlorophyll metabolism PAO1	PA1923
0	Denitrification, nitrate => nitrogen	PA0523
0	Ribosome PAO1	PA3601;PA3600
0	Tetrahydrofolate biosynthesis, GTP => THF	PA5539
0	Aminoglycoside resistance, protease FtsH	PA2438
0	Glyoxylate and dicarboxylate metabolism PAO1	PA4811
0	Selenocompound metabolism PAO1	PA1927
0	Zinc transport system	PA5498;PA5501;PA5500
0	Putative ABC transport system	PA4065;PA4064
0	Quorum sensing PAO1	PA5499;PA0997;PA0998;PA1000
0	Biosynthesis of siderophore group nonribosomal peptides PAO1	PA4226
0	Pyrimidine metabolism PAO1	PA5541
0	Bacterial secretion system PAO1	PA1701
0	Methane metabolism PAO1	PA4812
0	Cationic antimicrobial peptide (CAMP) resistance PAO1	PA1179;PA1180;PA5538
0	Tryptophan metabolism PAO1	PA3366
0	Iron complex transport system	PA2912;PA2913
0	Putative sorbitol/mannitol transport system	PA3187
0	Base excision repair PAO1	PA4172
1	Pyruvate metabolism PAO1	PA3416
1	Arginine and proline metabolism PAO1	PA0704
1	Glycine, serine and threonine metabolism PAO1	PA5213;PA2446
1	Bacterial chemotaxis PAO1	PA0180;PA1930;PA0179;PA3348;PA4290;PA0175
1	Propanoate metabolism PAO1	PA3568
1	Type VI secretion system	PA2373
1	Vanadium resistance, efflux pump MexGHI-OpmD	PA4205;PA4208
1	Starch and sucrose metabolism PAO1	PA2160;PA2151
1	Butanoate metabolism PAO1	PA5058
1	SagS-HptB-HsbR (swarming activity and biofilm formation) two-component regulatory system	PA3346
1	Quorum sensing PAO1	PA1874;PA1871;PA3724;PA4206;PA3477;PA2570;PA4207;PA3478;PA3479
1	Citrate cycle (TCA cycle) PAO1	PA3417
1	Oxidative phosphorylation PAO1	PA0107;PA0106;PA0108;PA0105;PA0113;PA0112
1	Cationic antimicrobial peptide (CAMP) resistance PAO1	PA1249
1	Sulfur metabolism PAO1	PA2566
2	Arginine biosynthesis PAO1	PA5171;PA5172
2	Arginine and proline metabolism PAO1	PA4773
