feature	pathway	gene_signature_definition
0	Phosphotransferase system (PTS) PAO1	PA4464
0	Gluconeogenesis, oxaloacetate => fructose-6P	PA3001
0	Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine	PA1010
0	RNA degradation PAO1	PA4385;PA4944;PA4761
0	2-Oxocarboxylic acid metabolism PAO1	PA5013
0	Ribosome PAO1	PA4568;PA4741;PA3162;PA4246;PA4259;PA5316;PA2742;PA0579;PA4249;PA4272;PA4253;PA4255;PA3656;PA4271;PA4250;PA4244;PA3745;PA4242;PA4273;PA4274;PA4264
0	Aminoglycoside resistance, protease FtsH	PA4751;PA4942
0	Glyoxylate and dicarboxylate metabolism PAO1	PA2634
0	Glycerophospholipid metabolism PAO1	PA4351
0	Cysteine and methionine metabolism PAO1	PA0432
0	Flagellar assembly PAO1	PA3351
0	Ribosome, bacteria	PA4260;PA4433;PA4257;PA4671;PA4258;PA4252;PA4563;PA5570;PA4251;PA4248;PA4239;PA4268;PA4254;PA2741;PA4263;PA4267;PA4241;PA4262;PA4247;PA4245
0	Quorum sensing PAO1	PA4243;PA1000
0	Phenylalanine metabolism PAO1	PA5304
0	Sulfur relay system PAO1	PA3814
0	Pyrimidine metabolism PAO1	PA5337;PA4238;PA3637
0	Citrate cycle (TCA cycle) PAO1	PA1588
0	Oxidative phosphorylation PAO1	PA5559;PA1581;PA1583;PA2638;PA5560;PA1582;PA5554;PA5555;PA5558
0	Citrate cycle (TCA cycle, Krebs cycle)	PA1580;PA2623
0	Base excision repair PAO1	PA5332
1	Thiamine metabolism PAO1	PA4051
1	beta-Lactam resistance PAO1	PA2019;PA2018
1	Dipeptide transport system	PA4504;PA4500
1	Ubiquinone and other terpenoid-quinone biosynthesis PAO1	PA1224
1	Bacterial secretion system PAO1	PA3486
1	Flagellar assembly PAO1	PA1094;PA1086;PA1095;PA1092;PA1087
1	Amino sugar and nucleotide sugar metabolism PAO1	PA2232
1	Putative polar amino acid transport system	PA4195;PA4193;PA4192
1	Quorum sensing PAO1	PA3476;PA0605;PA0604;PA0603
1	Cationic antimicrobial peptide (CAMP) resistance PAO1	PA1249
2	Cytochrome c oxidase, cbb3-type	PA1856
2	Macrolide resistance, MacAB-TolC transporter	PA2390;PA2389
2	Glycine, serine and threonine metabolism PAO1	PA2413
2	Monobactam biosynthesis PAO1	PA2412
2	Aminobenzoate degradation PAO1	PA2514;PA2512;PA2513
2	D-Methionine transport system	PA3931
2	Zinc transport system	PA2409;PA2408;PA2407
2	Putative polar amino acid transport system	PA2204;PA4194;PA4193;PA4192
2	Biosynthesis of siderophore group nonribosomal peptides PAO1	PA4230
2	Phenylalanine metabolism PAO1	PA2531
2	Citrate cycle (TCA cycle) PAO1	PA4470
2	Sulfur metabolism PAO1	PA0282;PA4443;PA3446;PA0280;PA0283;PA0281;PA4442
2	Iron complex transport system	PA4708
3	Pentose and glucuronate interconversions PAO1	PA2217
3	One carbon pool by folate PAO1	PA5228
3	Homologous recombination PAO1	PA4232;PA0967
3	CusS-CusR (copper tolerance) two-component regulatory system	PA1437
3	Chlorocyclohexane and chlorobenzene degradation PAO1	PA3498
3	Mismatch repair PAO1	PA3777
3	Folate biosynthesis PAO1	PA3028;PA3438
3	Valine, leucine and isoleucine biosynthesis PAO1	PA4694
3	Phosphonate transport system	PA3314
3	Biosynthesis of siderophore group nonribosomal peptides PAO1	PA1165
3	Sulfur relay system PAO1	PA3814
3	Oxidative phosphorylation PAO1	PA5242
3	Cationic antimicrobial peptide (CAMP) resistance PAO1	PA0425
3	Glycolysis / Gluconeogenesis PAO1	PA5422
3	Base excision repair PAO1	PA0357
4	Fatty acid metabolism PAO1	PA4089
4	Urea transport system	PA4859
4	Porphyrin and chlorophyll metabolism PAO1	PA4088
4	Phosphonate and phosphinate metabolism PAO1	PA3375;PA3379
4	Glyoxylate and dicarboxylate metabolism PAO1	PA5354
4	Sulfonate transport system	PA3449
4	Butanoate metabolism PAO1	PA3589;PA1146;PA3590
4	Folate biosynthesis PAO1	PA3914
4	Spermidine/putrescine transport system	PA0324;PA0325
4	Quorum sensing PAO1	PA0222;PA0844
4	Nitrogen metabolism PAO1	PA3876;PA3877
4	ABC-2 type transport system	PA4038
4	Pyrimidine metabolism PAO1	PA5541
5	Pyruvate metabolism PAO1	PA1984
5	Pentose phosphate pathway PAO1	PA1950
5	Arginine and proline metabolism PAO1	PA0896;PA2776
