feature	pathway	gene_signature_definition
0	Pyruvate metabolism PAO1	PA0482
0	Arginine biosynthesis PAO1	PA4588
0	Thiamine metabolism PAO1	PA3976
0	Porphyrin and chlorophyll metabolism PAO1	PA2947
0	Phenylalanine, tyrosine and tryptophan biosynthesis PAO1	PA0650
0	Riboflavin metabolism PAO1	PA5281
0	DNA replication PAO1	PA4232
0	Cysteine and methionine metabolism PAO1	PA3170
0	Flagellar assembly PAO1	PA1105
0	Putative ABC transport system	PA4594
0	Spermidine/putrescine transport system	PA0203
0	Quorum sensing PAO1	PA4776
0	Purine metabolism PAO1	PA5177;PA4971;PA4865
0	Phosphonate transport system	PA3315
0	Lipopolysaccharide biosynthesis PAO1	PA5010
0	Microcin C transport system	PA1810
0	Cationic antimicrobial peptide (CAMP) resistance PAO1	PA1799
1	Pentose and glucuronate interconversions PAO1	PA2343
1	Phosphotransferase system (PTS) PAO1	PA4464
1	Fatty acid metabolism PAO1	PA3645
1	Urea transport system	PA4859
1	Pentose phosphate pathway PAO1	PA2796
1	Arginine and proline metabolism PAO1	PA4908
1	Polyketide sugar unit biosynthesis PAO1	PA5161
1	Type II general secretion pathway	PA2676
1	Base excision repair PAO1	PA3725
1	RNA degradation PAO1	PA4740;PA4944
1	Ribosome PAO1	PA4255;PA4241;PA4254;PA3656;PA4274
1	Propanoate metabolism PAO1	PA3568
1	Bacterial secretion system PAO1	PA2672;PA2674
1	Ribosome, bacteria	PA0579
1	Isoleucine biosynthesis, threonine => 2-oxobutanoate => isoleucine	PA5013
1	Putative ABC transport system	PA4593
1	Putative polar amino acid transport system	PA5153
1	Spermidine/putrescine transport system	PA0326
1	Sulfur relay system PAO1	PA3814
1	Lipopolysaccharide biosynthesis PAO1	PA4988
1	Microcin C transport system	PA2061
1	D-Glutamine and D-glutamate metabolism PAO1	PA1638
2	Thiamine metabolism PAO1	PA3814
2	Nicotinate and nicotinamide metabolism PAO1	PA0195;PA0196
2	Arginine and proline metabolism PAO1	PA3366;PA2776
2	Type II general secretion pathway	PA3100
2	Valine, leucine and isoleucine degradation PAO1	PA5313
2	beta-Lactam resistance PAO1	PA2019;PA5471
2	Glyoxylate and dicarboxylate metabolism PAO1	PA5522;PA2444
2	Streptomycin biosynthesis PAO1	PA5163
2	Histidine metabolism PAO1	PA3151;PA3152
2	Amino sugar and nucleotide sugar metabolism PAO1	PA3159;PA3148;PA3155;PA3158;PA3156
2	Ribosome, bacteria	PA3601;PA4264
2	Putative ABC transport system	PA4065
2	Quorum sensing PAO1	PA0999;PA0997;PA4206;PA0998;PA3477;PA1000;PA2570;PA2943;PA1001;PA4207;PA3478;PA3479
2	Nitrogen metabolism PAO1	PA0660
2	Phenylalanine metabolism PAO1	PA0865
2	Lipopolysaccharide biosynthesis PAO1	PA0011
2	Sulfur metabolism PAO1	PA2104;PA3443;PA3935
2	Glycerolipid metabolism PAO1	PA3582
3	One carbon pool by folate PAO1	PA0430
3	Pyruvate metabolism PAO1	PA3415;PA0927;PA3417;PA3416
3	Valine, leucine and isoleucine degradation PAO1	PA3569
3	Homologous recombination PAO1	PA4283
3	Bacterial chemotaxis PAO1	PA1930
3	Phosphonate and phosphinate metabolism PAO1	PA1311
3	Aminobenzoate degradation PAO1	PA4905
3	Glyoxylate and dicarboxylate metabolism PAO1	PA4812
3	Streptomycin biosynthesis PAO1	PA5163
3	Selenocompound metabolism PAO1	PA4808;PA1927
3	Purine metabolism PAO1	PA3770;PA3763;PA0387;PA1156
3	Nitrogen metabolism PAO1	PA1173
3	Citrate cycle (TCA cycle) PAO1	PA1584
3	Oxidative phosphorylation PAO1	PA4031
3	Lipopolysaccharide biosynthesis PAO1	PA5010
