feature	pathway	gene_signature_definition
0	Pyruvate metabolism PAO1	PA0835
0	Arginine biosynthesis PAO1	PA5171;PA5172
0	Porphyrin and chlorophyll metabolism PAO1	PA4235
0	Cytochrome c oxidase, cbb3-type	PA1557;PA1556
0	Glycolysis / Gluconeogenesis PAO1	PA5427
0	Bacterial chemotaxis PAO1	PA1561
0	Glyoxylate and dicarboxylate metabolism PAO1	PA4236
0	Vitamin B6 metabolism PAO1	PA1049
0	Cysteine and methionine metabolism PAO1	PA1927
0	Quorum sensing PAO1	PA0295
0	Purine metabolism PAO1	PA5497
0	Nitrogen metabolism PAO1	PA5173;PA0519;PA0523;PA3877;PA0524
0	ABC-2 type transport system	PA5230
0	Phenylalanine metabolism PAO1	PA5304
0	Oxidative phosphorylation PAO1	PA1555
0	Lipopolysaccharide biosynthesis PAO1	PA3337
0	Methane metabolism PAO1	PA0836
0	Sulfur metabolism PAO1	PA0518
0	Cyanoamino acid metabolism PAO1	PA2194;PA2195;PA2193
1	Iron(III) transport system	PA4688
1	Pentose phosphate pathway PAO1	PA3194;PA3181;PA2321;PA3183;PA3182
1	Putative sorbitol/mannitol transport system	PA3187
1	Monobactam biosynthesis PAO1	PA4442
1	Biosynthesis of siderophore group nonribosomal peptides PAO1	PA4230;PA4228
1	Type III secretion system	PA1719;PA1691;PA1698;PA1701;PA1722;PA1695;PA1690;PA1697;PA1725;PA1723;PA1724;PA1694;PA1716;PA1692;PA1717;PA1696;PA1693;PA1703
2	Phenylalanine, tyrosine and tryptophan biosynthesis PAO1	PA3475
2	Type VI secretion system	PA1667;PA1657;PA1661;PA1669;PA1659;PA1666;PA1658;PA1668;PA1656;PA1662;PA1660
2	Phenazine biosynthesis PAO1	PA4209;PA4217
2	Leucine biosynthesis, 2-oxoisovalerate => 2-oxoisocaproate	PA1217
2	Fatty acid biosynthesis, initiation	PA3333
2	Quorum sensing PAO1	PA3476;PA1871;PA4211;PA1130;PA1901;PA3724;PA1902;PA2570;PA3361;PA1904;PA1903;PA1905;PA3478;PA3479
2	Glutathione metabolism PAO1	PA2813
2	ABC-2 type transport system	PA2812;PA2811
2	Oxidative phosphorylation PAO1	PA4133
2	Sulfur metabolism PAO1	PA2566;PA4130
2	Cyanoamino acid metabolism PAO1	PA2193;PA2194;PA2195
2	Putrescine transport system	PA2592
3	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	PA1582
3	Multidrug resistance, efflux pump MexPQ-OpmE	PA3523
3	Urea transport system	PA4861
3	Porphyrin and chlorophyll metabolism PAO1	PA1923
3	Glycine, serine and threonine metabolism PAO1	PA1326;PA0036
3	Denitrification, nitrate => nitrogen	PA0524
3	NitT/TauT family transport system	PA3514
3	Ribosome PAO1	PA3600
3	Glycolysis / Gluconeogenesis PAO1	PA1982
3	Tetrahydrofolate biosynthesis, GTP => THF	PA5539
3	Chlorocyclohexane and chlorobenzene degradation PAO1	PA2682
3	Histidine metabolism PAO1	PA5098
3	Aminobenzoate degradation PAO1	PA2514;PA2512;PA2513
3	Vanadium resistance, efflux pump MexGHI-OpmD	PA4205
3	Butanoate metabolism PAO1	PA1581
3	SagS-HptB-HsbR (swarming activity and biofilm formation) two-component regulatory system	PA1976
3	Ribosome, bacteria	PA3601
3	Putative ABC transport system	PA4065;PA4064
3	Quorum sensing PAO1	PA4911;PA4211;PA3479;PA4207
3	Pyrimidine metabolism PAO1	PA5541
3	Cationic antimicrobial peptide (CAMP) resistance PAO1	PA5538
3	Sulfur metabolism PAO1	PA2105
3	Glycerolipid metabolism PAO1	PA3582
3	Iron complex transport system	PA2913
3	Putative sorbitol/mannitol transport system	PA3187
3	Base excision repair PAO1	PA4172
4	Thiamine metabolism PAO1	PA4044;PA3975
4	Leucine degradation, leucine => acetoacetate + acetyl-CoA	PA2015
4	Glycine, serine and threonine metabolism PAO1	PA5213;PA4626
4	Type II general secretion pathway	PA1868;PA1382
4	Valine, leucine and isoleucine degradation PAO1	PA2014
4	Homologous recombination PAO1	PA4284;PA3725
4	Bacterial chemotaxis PAO1	PA0175
4	Chlorocyclohexane and chlorobenzene degradation PAO1	PA3498
4	Glyoxylate and dicarboxylate metabolism PAO1	PA1052
4	Amino sugar and nucleotide sugar metabolism PAO1	PA1384
4	Purine metabolism PAO1	PA1393;PA3751
4	Phenylalanine metabolism PAO1	PA5304
4	Pantothenate and CoA biosynthesis PAO1	PA0363
4	Iron complex transport system	PA4158
5	Thiamine metabolism PAO1	PA4973
5	Arginine and proline metabolism PAO1	PA4774
5	Putative sorbitol/mannitol transport system	PA3187
5	Leucine degradation, leucine => acetoacetate + acetyl-CoA	PA2013;PA2014;PA2012;PA2011
5	beta-Lactam resistance PAO1	PA2019;PA3721;PA2018;PA0958
5	Nicotinate and nicotinamide metabolism PAO1	PA0195
5	Glyoxylate and dicarboxylate metabolism PAO1	PA4810;PA4811;PA1566;PA4812;PA5508
5	Glycerophospholipid metabolism PAO1	PA3584
5	Cysteine and methionine metabolism PAO1	PA4773
5	Flagellar assembly PAO1	PA1094;PA1092
5	Amino sugar and nucleotide sugar metabolism PAO1	PA3554
5	Quorum sensing PAO1	PA1070;PA4777
5	Glutathione metabolism PAO1	PA2813
5	ABC-2 type transport system	PA2812;PA2811
5	Cationic antimicrobial peptide (CAMP) resistance, arnBCADTEF operon	PA3553
5	Methane metabolism PAO1	PA3628
5	Cationic antimicrobial peptide (CAMP) resistance PAO1	PA3552
5	Glycerolipid metabolism PAO1	PA3582
6	Pentose phosphate pathway PAO1	PA2265
6	Porphyrin and chlorophyll metabolism PAO1	PA2944;PA1280
6	Putative sorbitol/mannitol transport system	PA3187
6	Glycine, serine and threonine metabolism PAO1	PA3710;PA4693
6	Valine, leucine and isoleucine degradation PAO1	PA0130;PA0747;PA3570;PA3569
6	Phenylalanine, tyrosine and tryptophan biosynthesis PAO1	PA0872
6	Riboflavin metabolism PAO1	PA3446
6	Ribosome PAO1	PA4264;PA4568
6	Type VI secretion system	PA1658;PA1659
6	Benzoate degradation PAO1	PA0228
6	beta-Alanine metabolism PAO1	PA4774
6	Styrene degradation PAO1	PA0227
6	Amino sugar and nucleotide sugar metabolism PAO1	PA3159;PA3559
6	Branched-chain amino acid transport system	PA1073
6	Glutathione metabolism PAO1	PA2263
6	Oxidative phosphorylation PAO1	PA5558
6	Cationic antimicrobial peptide (CAMP) resistance PAO1	PA1249;PA3556
6	Sulfur metabolism PAO1	PA2357
7	Pyruvate metabolism PAO1	PA4470;PA0835
7	Arginine biosynthesis PAO1	PA5171;PA5172
7	Porphyrin and chlorophyll metabolism PAO1	PA4235;PA0510;PA0024
7	Tyrosine metabolism PAO1	PA0865;PA5427
7	Bacterial chemotaxis PAO1	PA1561
7	Monobactam biosynthesis PAO1	PA2412
7	Aminobenzoate degradation PAO1	PA2513
7	Glyoxylate and dicarboxylate metabolism PAO1	PA4613;PA4236
7	Vitamin B6 metabolism PAO1	PA1049
7	Glycerophospholipid metabolism PAO1	PA4351
7	Butanoate metabolism PAO1	PA2000
7	Quorum sensing PAO1	PA3724;PA0998;PA0997;PA1871;PA0295
7	Purine metabolism PAO1	PA5497
7	Nitrogen metabolism PAO1	PA0523;PA0524;PA3392;PA5173;PA3877;PA0519
7	Biosynthesis of siderophore group nonribosomal peptides PAO1	PA4225;PA4230;PA4224;PA4226;PA4228;PA4231
7	ABC-2 type transport system	PA5230
7	Oxidative phosphorylation PAO1	PA1557;PA1317;PA1555;PA1319;PA1318;PA1320;PA3929;PA1556;PA3930
7	Lipopolysaccharide biosynthesis PAO1	PA3337
7	Methane metabolism PAO1	PA4812;PA0836
7	Sulfur metabolism PAO1	PA0518
8	Degradation of aromatic compounds PAO1	PA2508
8	Arginine and proline metabolism PAO1	PA4774
8	Glycine, serine and threonine metabolism PAO1	PA2442;PA2444;PA2446
8	Denitrification, nitrate => nitrogen	PA0523
8	RNA degradation PAO1	PA4761
8	Tyrosine metabolism PAO1	PA0865;PA2007;PA2009
8	beta-Lactam resistance PAO1	PA2019;PA2018
8	Propanoate metabolism PAO1	PA3568
8	Chlorocyclohexane and chlorobenzene degradation PAO1	PA2682
8	Aminobenzoate degradation PAO1	PA2514;PA2512;PA2513
8	Glyoxylate and dicarboxylate metabolism PAO1	PA5415;PA2445
8	Glycerophospholipid metabolism PAO1	PA3584
8	Cysteine and methionine metabolism PAO1	PA4773
8	Vancomycin resistance PAO1	PA5302
8	Fatty acid biosynthesis, elongation	PA3333
8	Amino sugar and nucleotide sugar metabolism PAO1	PA3559;PA5452
8	Glutamate/aspartate transport system	PA5082
8	Putative polar amino acid transport system	PA5154;PA5074;PA1260;PA5155;PA5153;PA1256
8	Quorum sensing PAO1	PA4910;PA1072;PA1070;PA4776;PA1073;PA4777
8	Biosynthesis of siderophore group nonribosomal peptides PAO1	PA4228
8	Phenylalanine metabolism PAO1	PA5084;PA5304
8	Oxidative phosphorylation PAO1	PA3929;PA3930
8	Cationic antimicrobial peptide (CAMP) resistance PAO1	PA3554;PA3555;PA1179;PA3552;PA3553;PA3557;PA3558;PA0920;PA3556;PA1180
8	Type VI secretion system	PA1667
8	Glycerolipid metabolism PAO1	PA2862
8	Cyanoamino acid metabolism PAO1	PA1338
8	Putative sorbitol/mannitol transport system	PA3187
9	Pyruvate metabolism PAO1	PA5435;PA5436
9	Fatty acid metabolism PAO1	PA3333
9	Iron(III) transport system	PA4687
9	Multidrug resistance, efflux pump MexPQ-OpmE	PA3522
9	Pentose phosphate pathway PAO1	PA3181;PA3194;PA3182;PA2263;PA2321;PA3183
9	Arginine and proline metabolism PAO1	PA0293
9	Type II general secretion pathway	PA3097
9	Tyrosine metabolism PAO1	PA0865
9	beta-Lactam resistance PAO1	PA2019
9	Synthesis and degradation of ketone bodies PAO1	PA2000
9	Glycolysis / Gluconeogenesis PAO1	PA3193;PA3195
9	Glyoxylate and dicarboxylate metabolism PAO1	PA4810;PA5522;PA4812;PA4811;PA2444
9	Alanine, aspartate and glutamate metabolism PAO1	PA5429;PA3516
9	Phenazine biosynthesis PAO1	PA4217
9	Amino sugar and nucleotide sugar metabolism PAO1	PA3552
9	Quorum sensing PAO1	PA1071;PA4909;PA0998;PA1905;PA4911;PA1904;PA4211;PA1073
9	Oxidative phosphorylation PAO1	PA1317;PA1319;PA1318;PA1320
9	Methane metabolism PAO1	PA2555
9	Glycerolipid metabolism PAO1	PA3582
9	Cyanoamino acid metabolism PAO1	PA2194;PA2193
9	Putative sorbitol/mannitol transport system	PA3187
10	Pyruvate metabolism PAO1	PA5445
10	Arginine biosynthesis PAO1	PA5173;PA5171;PA5172
10	Degradation of aromatic compounds PAO1	PA4125
10	Porphyrin and chlorophyll metabolism PAO1	PA2944
10	Sulfate-sulfur assimilation	PA4130
10	Valine, leucine and isoleucine degradation PAO1	PA3569;PA3570
10	Tyrosine metabolism PAO1	PA4121
10	Ribosome PAO1	PA3601;PA3600
10	Type VI secretion system	PA1657;PA2685;PA0262
10	Cysteine and methionine metabolism PAO1	PA4773
10	Flagellar assembly PAO1	PA1082;PA1083;PA1079
10	Amino sugar and nucleotide sugar metabolism PAO1	PA3559
10	Quorum sensing PAO1	PA1002;PA0999;PA3476;PA0997;PA0998;PA1000;PA1001;PA1432;PA1003;PA0996
10	Homoprotocatechuate degradation, homoprotocatechuate => 2-oxohept-3-enedioate	PA4123;PA4122
10	Cationic antimicrobial peptide (CAMP) resistance PAO1	PA5538
10	Glycerolipid metabolism PAO1	PA4351
11	Fatty acid metabolism PAO1	PA3333
11	Glycine, serine and threonine metabolism PAO1	PA2446;PA5415;PA2445;PA2442;PA2444;PA2443
11	NitT/TauT family transport system	PA3514
11	Bacterial chemotaxis PAO1	PA4307
11	Type VI secretion system	PA1657;PA1659;PA2367;PA2368;PA1658;PA1656;PA1660
11	Vanadium resistance, efflux pump MexGHI-OpmD	PA4205
11	Cysteine and methionine metabolism PAO1	PA4773;PA4774;PA1927
11	Histidine metabolism PAO1	PA3151;PA3152
