feature	pathway	gene_signature_definition
0	Pentose phosphate pathway PAO1	PA2263;PA2261
0	Glycine, serine and threonine metabolism PAO1	PA5372
0	beta-Lactam resistance PAO1	PA3721
0	Ribosome PAO1	PA3600
0	Bacterial chemotaxis PAO1	PA4290
0	CusS-CusR (copper tolerance) two-component regulatory system	PA2809
0	Chlorocyclohexane and chlorobenzene degradation PAO1	PA2682
0	Styrene degradation PAO1	PA3366
0	Phenazine biosynthesis PAO1	PA0996;PA4209
0	Glycine betaine/proline transport system	PA5388
0	SagS-HptB-HsbR (swarming activity and biofilm formation) two-component regulatory system	PA1976
0	Fructose and mannose metabolism PAO1	PA3542;PA3545
0	Spermidine/putrescine transport system	PA3607
0	Purine metabolism PAO1	PA3769
0	Oxidative phosphorylation PAO1	PA0108
0	Glycolysis / Gluconeogenesis PAO1	PA0887;PA1982
1	Pyocyanine biosynthesis, chorismate => pyocyanine	PA1905
1	Pyruvate metabolism PAO1	PA5445;PA5436
1	Thiamine metabolism PAO1	PA4973
1	Nicotinate and nicotinamide metabolism PAO1	PA1602
1	Pentose phosphate pathway PAO1	PA3181;PA2323;PA3183;PA3182;PA2263;PA2321;PA2261
1	Arginine and proline metabolism PAO1	PA1421
1	beta-Lactam resistance PAO1	PA3719
1	Ribosome PAO1	PA3601;PA3600
1	Glycolysis / Gluconeogenesis PAO1	PA1982
1	Bacterial chemotaxis PAO1	PA4290
1	Propanoate metabolism PAO1	PA3568;PA0887;PA0130
1	Streptomycin biosynthesis PAO1	PA4069
1	Vanadium resistance, efflux pump MexGHI-OpmD	PA4205
1	Bacterial secretion system PAO1	PA1691;PA0263;PA1703
1	Flagellar assembly PAO1	PA1104
1	Phenazine biosynthesis PAO1	PA4217
1	Zinc transport system	PA5501
1	Leucine biosynthesis, 2-oxoisovalerate => 2-oxoisocaproate	PA3120
1	Putative ABC transport system	PA4065;PA4064
1	Quorum sensing PAO1	PA3320
1	Pyrimidine metabolism PAO1	PA5541
1	Cationic antimicrobial peptide (CAMP) resistance PAO1	PA5538
1	Sulfur metabolism PAO1	PA2566
1	Iron complex transport system	PA2913
1	Putative sorbitol/mannitol transport system	PA3187
2	Arginine biosynthesis PAO1	PA5522;PA5119;PA4868
2	Porphyrin and chlorophyll metabolism PAO1	PA5523
2	Ribosome PAO1	PA5570
2	Bacterial chemotaxis PAO1	PA0173;PA0175;PA0178;PA0174
2	Type VI secretion system	PA2360;PA2361;PA2363;PA2362
2	Aminobenzoate degradation PAO1	PA4901
2	Flagellar assembly PAO1	PA1446
2	SagS-HptB-HsbR (swarming activity and biofilm formation) two-component regulatory system	PA1976
2	Putative polar amino acid transport system	PA1257
2	Quorum sensing PAO1	PA0999;PA4206;PA4207
2	Purine metabolism PAO1	PA5426;PA1931
2	Sulfur metabolism PAO1	PA4130
2	Glycolysis / Gluconeogenesis PAO1	PA1982
3	Phosphotransferase system (PTS) PAO1	PA4464
3	Pentose phosphate pathway PAO1	PA5110;PA3896
3	2-Oxocarboxylic acid metabolism PAO1	PA5013
3	Ribosome PAO1	PA2741;PA4273;PA4741;PA4246;PA2742;PA4258;PA4259;PA5316;PA4671;PA0579;PA5570;PA4272;PA4240;PA4255;PA4244;PA4254;PA4242;PA3745;PA4262;PA4247;PA4248
3	Bacterial chemotaxis PAO1	PA3348;PA1457
3	Aminoglycoside resistance, protease FtsH	PA4751;PA4942
3	Glyoxylate and dicarboxylate metabolism PAO1	PA2634
3	Ribosome, bacteria	PA4260;PA4433;PA4568;PA3162;PA4257;PA2970;PA4252;PA3742;PA4563;PA4249;PA4253;PA4239;PA3656;PA4268;PA4274;PA4263;PA4267;PA4241;PA4264;PA4245
3	Quorum sensing PAO1	PA4243;PA4944
3	Purine metabolism PAO1	PA4238;PA3686;PA5337;PA0002
3	Aminoacyl-tRNA biosynthesis PAO1	PA4483
3	Sulfur relay system PAO1	PA1505;PA3814
3	Pyrimidine metabolism PAO1	PA3637
3	Citrate cycle (TCA cycle) PAO1	PA1580
3	Oxidative phosphorylation PAO1	PA1581;PA1583;PA2638;PA5560;PA5242;PA1582;PA1552;PA1584;PA5554;PA4429
3	Lipopolysaccharide biosynthesis PAO1	PA4425;PA4406
3	Methane metabolism PAO1	PA1770
3	Citrate cycle (TCA cycle, Krebs cycle)	PA1588
3	Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine	PA1010
3	Fatty acid biosynthesis PAO1	PA4089
4	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	PA4470
4	Thiamine metabolism PAO1	PA3814
4	Porphyrin and chlorophyll metabolism PAO1	PA0510
4	Glycine, serine and threonine metabolism PAO1	PA2413
4	Denitrification, nitrate => nitrogen	PA0524;PA0519;PA0523
4	Tyrosine metabolism PAO1	PA2008;PA0865;PA2009
4	Synthesis and degradation of ketone bodies PAO1	PA1999
4	Monobactam biosynthesis PAO1	PA2412
4	D-Methionine transport system	PA3931
4	Styrene degradation PAO1	PA3366
4	Butanoate metabolism PAO1	PA2000
4	Zinc transport system	PA2408;PA2407
4	Putative polar amino acid transport system	PA2204
4	Nitrogen metabolism PAO1	PA3392
4	Biosynthesis of siderophore group nonribosomal peptides PAO1	PA4226;PA4225;PA4230
4	Oxidative phosphorylation PAO1	PA2691;PA3930;PA1856
4	Putative spermidine/putrescine transport system	PA0605
4	Sulfur metabolism PAO1	PA0283;PA0518;PA3443;PA3444;PA3446
4	Iron complex transport system	PA4708
5	Glycine, serine and threonine metabolism PAO1	PA2444
5	Denitrification, nitrate => nitrogen	PA3875;PA3874
5	beta-Lactam resistance PAO1	PA0958
5	Dipeptide transport system	PA4504
5	Bacterial chemotaxis PAO1	PA4307
5	Type VI secretion system	PA0083
5	Selenocompound metabolism PAO1	PA0849
5	Amino sugar and nucleotide sugar metabolism PAO1	PA2232
5	Quorum sensing PAO1	PA1002;PA0999;PA3476;PA0997;PA0998;PA1000;PA1001;PA4211;PA0996
5	Nitrogen metabolism PAO1	PA0524
5	Glutathione metabolism PAO1	PA2813
5	ABC-2 type transport system	PA2812;PA2811
6	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	PA4470
6	Nicotinate and nicotinamide metabolism PAO1	PA1602
6	Porphyrin and chlorophyll metabolism PAO1	PA4880
6	Polyketide sugar unit biosynthesis PAO1	PA4069
6	Phenylalanine, tyrosine and tryptophan biosynthesis PAO1	PA2943
6	beta-Lactam resistance PAO1	PA0958
6	Histidine metabolism PAO1	PA3151
6	Aminobenzoate degradation PAO1	PA2514
6	Glyoxylate and dicarboxylate metabolism PAO1	PA4810;PA5508
6	Glycerophospholipid metabolism PAO1	PA3603
6	Vancomycin resistance PAO1	PA5302
6	Glycine betaine/proline transport system	PA3236
6	Amino sugar and nucleotide sugar metabolism PAO1	PA3148;PA3155
6	Glutathione metabolism PAO1	PA2813
6	ABC-2 type transport system	PA2812;PA2811
6	Phenylalanine metabolism PAO1	PA0865
6	Oxidative phosphorylation PAO1	PA1317;PA1319
7	Nicotinate and nicotinamide metabolism PAO1	PA3088;PA1823
7	Porphyrin and chlorophyll metabolism PAO1	PA2903
7	NitT/TauT family transport system	PA3513
7	Riboflavin metabolism PAO1	PA1274
7	Nucleotide excision repair PAO1	PA4234
7	CusS-CusR (copper tolerance) two-component regulatory system	PA4886
7	Aminoglycoside resistance, protease FtsH	PA5199
7	Peptidoglycan biosynthesis PAO1	PA4418
7	gamma-Hexachlorocyclohexane transport system	PA3211
7	Alanine, aspartate and glutamate metabolism PAO1	PA5549
7	Valine, leucine and isoleucine biosynthesis PAO1	PA3121
7	Quorum sensing PAO1	PA3361
7	Purine metabolism PAO1	PA3763;PA5338;PA0590
7	NADH:quinone oxidoreductase, prokaryotes	PA2640;PA2644
7	Sulfur relay system PAO1	PA2607
7	Oxidative phosphorylation PAO1	PA2641
7	2-Oxocarboxylic acid metabolism PAO1	PA3792
7	Pantothenate and CoA biosynthesis PAO1	PA0363
7	Cationic antimicrobial peptide (CAMP) resistance PAO1	PA0766
8	Type III secretion system	PA1719;PA1691;PA1722;PA1701;PA1698;PA1695;PA1690;PA1697;PA1725;PA1723;PA1724;PA1694;PA1716;PA1717;PA1696;PA1693;PA1692;PA1703
8	Glycine, serine and threonine metabolism PAO1	PA2445;PA2444
8	Tyrosine metabolism PAO1	PA4122
8	Aminobenzoate degradation PAO1	PA2512;PA2513
8	Bacterial secretion system PAO1	PA0085
8	Phenazine biosynthesis PAO1	PA0999;PA0997;PA0998;PA1000;PA1001;PA0996
8	Glutamate/aspartate transport system	PA5082
8	Putative polar amino acid transport system	PA1256
8	Nitrogen metabolism PAO1	PA3877
8	Histidine degradation, histidine => N-formiminoglutamate => glutamate	PA5098
9	Biotin metabolism PAO1	PA4280
9	Nicotinate and nicotinamide metabolism PAO1	PA4918
9	beta-Lactam resistance PAO1	PA0958
9	Dipeptide transport system	PA4503
9	Propanoate metabolism PAO1	PA0494
9	Cysteine and methionine metabolism PAO1	PA2104
9	Flagellar assembly PAO1	PA1094;PA1095;PA1092;PA1086
9	Histidine metabolism PAO1	PA3151;PA3152
9	Amino sugar and nucleotide sugar metabolism PAO1	PA3148;PA3159;PA3155;PA3158;PA3156
9	Aminoacyl-tRNA biosynthesis, prokaryotes	PA2739
9	Sulfur metabolism PAO1	PA2105
10	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	PA4470
10	Porphyrin and chlorophyll metabolism PAO1	PA3531;PA4880
10	Macrolide resistance, MacAB-TolC transporter	PA2390;PA2389
10	Glycine, serine and threonine metabolism PAO1	PA2413
10	Denitrification, nitrate => nitrogen	PA1174
10	Phenylalanine, tyrosine and tryptophan biosynthesis PAO1	PA2531
10	Ribosome PAO1	PA3600
10	Monobactam biosynthesis PAO1	PA2412
10	Glyoxylate and dicarboxylate metabolism PAO1	PA4812
10	Zinc transport system	PA2409;PA2408;PA2407
10	Biosynthesis of siderophore group nonribosomal peptides PAO1	PA4225;PA4230;PA4224;PA4226;PA4228;PA4231
10	Iron complex transport system	PA4159;PA4708;PA4707;PA4706;PA4158
11	Lysine biosynthesis PAO1	PA4188
11	Arginine and proline metabolism PAO1	PA4189;PA0782;PA4163;PA0293
11	Sulfate-sulfur assimilation	PA4130
11	Tyrosine metabolism PAO1	PA4127;PA4128;PA4122;PA4125;PA4123;PA4124;PA4121
11	Ribosome PAO1	PA3600
11	Type VI secretion system	PA2685
11	Styrene degradation PAO1	PA4073
11	Butanoate metabolism PAO1	PA4180
11	Amino sugar and nucleotide sugar metabolism PAO1	PA3559
11	Putative ABC transport system	PA4064
11	Quorum sensing PAO1	PA0997;PA4777
11	Nitrogen metabolism PAO1	PA1024
11	Aminoacyl-tRNA biosynthesis PAO1	PA4138
11	Cationic antimicrobial peptide (CAMP) resistance, arnBCADTEF operon	PA3554;PA3555;PA3558;PA3557
11	Citrate cycle (TCA cycle) PAO1	PA4152
11	Oxidative phosphorylation PAO1	PA4133
11	Cationic antimicrobial peptide (CAMP) resistance PAO1	PA3556;PA3552;PA3553
11	Iron complex transport system	PA4158;PA4161
12	Iron(III) transport system	PA5217
12	Arginine and proline metabolism PAO1	PA0393
12	Valine, leucine and isoleucine degradation PAO1	PA3569
12	Phenylalanine, tyrosine and tryptophan biosynthesis PAO1	PA3166
12	beta-Lactam resistance PAO1	PA3719
12	Ribosome PAO1	PA4934;PA2970;PA5316;PA3742;PA4252;PA4272;PA4245
12	Tetrahydrofolate biosynthesis, GTP => THF	PA3438
12	Benzoate degradation PAO1	PA0968
12	Aminobenzoate degradation PAO1	PA4901
12	Cysteine and methionine metabolism PAO1	PA0432;PA3004
12	Butanoate metabolism PAO1	PA1997
12	Histidine metabolism PAO1	PA5106
12	Ribosome, bacteria	PA4567;PA4258;PA4256;PA4255;PA4932;PA4244;PA4242
12	Quorum sensing PAO1	PA3822;PA5568;PA0609
12	Purine metabolism PAO1	PA4740;PA5493;PA4238;PA3763
12	Aminoacyl-tRNA biosynthesis, prokaryotes	PA2744
12	Sulfur relay system PAO1	PA0380
12	Citrate cycle (TCA cycle) PAO1	PA3416;PA5192;PA1580;PA1589
12	Oxidative phosphorylation PAO1	PA1581;PA5557;PA1582;PA1584;PA2644;PA4429;PA5555;PA5558
12	2-Oxocarboxylic acid metabolism PAO1	PA4694
12	Lipopolysaccharide biosynthesis PAO1	PA4406
12	Putrescine transport system	PA0302
13	Porphyrin and chlorophyll metabolism PAO1	PA0510
13	Denitrification, nitrate => nitrogen	PA0524;PA3392;PA0519;PA0523
13	Arginine and proline metabolism PAO1	PA0896
13	Phenylalanine, tyrosine and tryptophan biosynthesis PAO1	PA0025
13	Fructose and mannose metabolism PAO1	PA3541
13	Propanoate metabolism PAO1	PA0130
13	Cysteine and methionine metabolism PAO1	PA1927
13	Phenazine biosynthesis PAO1	PA4209;PA4217
13	Fatty acid biosynthesis, elongation	PA3333
13	Putative polar amino acid transport system	PA4193
13	Quorum sensing PAO1	PA0999;PA3476;PA1002;PA0997;PA1871;PA1901;PA0998;PA1902;PA1905;PA1000;PA1001;PA1904;PA1903;PA4211;PA0996
13	Biosynthesis of siderophore group nonribosomal peptides PAO1	PA4230;PA4228
13	Oxidative phosphorylation PAO1	PA2691;PA4133;PA1317
13	Sulfur metabolism PAO1	PA3937;PA3449;PA4130;PA3443;PA0518;PA3444;PA3936
13	Glycerolipid metabolism PAO1	PA3582
13	Cyanoamino acid metabolism PAO1	PA2193;PA2194;PA2444;PA2195
14	Urea transport system	PA4862
14	Arginine and proline metabolism PAO1	PA4189
14	Porphyrin and chlorophyll metabolism PAO1	PA1778
14	beta-Lactam resistance PAO1	PA3719
14	Type VI secretion system	PA0089;PA0085
14	Phosphonate and phosphinate metabolism PAO1	PA3375
14	Aminobenzoate degradation PAO1	PA2514;PA2513
14	Glyoxylate and dicarboxylate metabolism PAO1	PA2445;PA2444
14	Glycerophospholipid metabolism PAO1	PA4351
