feature	pathway	gene_signature_definition
0	Pyruvate metabolism PAO1	PA4733
0	Iron(III) transport system	PA4687
0	beta-Oxidation	PA3013
0	RNA degradation PAO1	PA4727
0	Riboflavin metabolism PAO1	PA4053
0	Ribosome PAO1	PA4260;PA4247;PA4244;PA3656
0	Homologous recombination PAO1	PA4232;PA3617
0	Bacterial chemotaxis PAO1	PA1464
0	Phosphonate and phosphinate metabolism PAO1	PA1310
0	Histidine metabolism PAO1	PA4939
0	Ubiquinone and other terpenoid-quinone biosynthesis PAO1	PA5063
0	Flagellar assembly PAO1	PA3352
0	Amino sugar and nucleotide sugar metabolism PAO1	PA0597
0	Ribosome, bacteria	PA4433;PA4274
0	Quorum sensing PAO1	PA3252;PA4211
0	Purine metabolism PAO1	PA4971;PA5337;PA3970
0	Pyrimidine metabolism PAO1	PA4758
0	Citrate cycle (TCA cycle) PAO1	PA1586;PA5435;PA1589
0	Oxidative phosphorylation PAO1	PA4431
0	Cationic antimicrobial peptide (CAMP) resistance PAO1	PA3310
0	Sulfur metabolism PAO1	PA0589
1	Pyruvate metabolism PAO1	PA5435;PA5436
1	Nicotinate and nicotinamide metabolism PAO1	PA0195
1	Macrolide resistance, MacAB-TolC transporter	PA1179
1	Chlorocyclohexane and chlorobenzene degradation PAO1	PA3498
1	Phosphonate and phosphinate metabolism PAO1	PA3379
1	Mismatch repair PAO1	PA3777
1	Ubiquinone and other terpenoid-quinone biosynthesis PAO1	PA5237
1	Peptidoglycan biosynthesis PAO1	PA1959
1	gamma-Hexachlorocyclohexane transport system	PA3211
1	Flagellar assembly PAO1	PA1452
1	Phenazine biosynthesis PAO1	PA0999
1	Folate biosynthesis PAO1	PA4750
1	Ribosome, bacteria	PA3600
1	Purine metabolism PAO1	PA0387;PA4854
1	ABC-2 type transport system	PA3400
1	Sulfur metabolism PAO1	PA3816;PA5175
2	Pyruvate metabolism PAO1	PA0887
2	RNA degradation PAO1	PA4385
2	Ribosome PAO1	PA4260;PA4272;PA4254
2	Monobactam biosynthesis PAO1	PA2412
2	Aminobenzoate degradation PAO1	PA2514;PA2512;PA2513
2	Tryptophan metabolism PAO1	PA2147
2	Selenocompound metabolism PAO1	PA1927
2	Vanadium resistance, efflux pump MexGHI-OpmD	PA4205;PA4208
2	Starch and sucrose metabolism PAO1	PA2160;PA2151;PA2144;PA2163;PA2165;PA2152;PA2164;PA2162;PA2153
2	Ribosome, bacteria	PA4253
2	Quorum sensing PAO1	PA1874;PA2570;PA1871;PA3724;PA4207
2	Purine metabolism PAO1	PA1933
2	Citrate cycle (TCA cycle) PAO1	PA2624
2	Citrate cycle (TCA cycle, Krebs cycle)	PA5445
3	Pentose phosphate pathway PAO1	PA3181;PA2321;PA3183
3	Arginine and proline metabolism PAO1	PA1254
3	Glycine, serine and threonine metabolism PAO1	PA5379;PA5416;PA5415;PA5419;PA5417;PA0316;PA5418
3	Valine, leucine and isoleucine degradation PAO1	PA3569
3	Tyrosine metabolism PAO1	PA3629;PA0865;PA2007;PA2009;PA2008
3	Dipeptide transport system	PA4496
3	NitT/TauT family transport system	PA3514
3	Ribosome PAO1	PA4563;PA4741;PA4272
3	Histidine metabolism PAO1	PA5100
3	Sec (secretion) system	PA5568
3	Aminobenzoate degradation PAO1	PA2512;PA2513
3	Glyoxylate and dicarboxylate metabolism PAO1	PA5420
3	Glycerophospholipid metabolism PAO1	PA2584
3	Ascorbate and aldarate metabolism PAO1	PA1253
3	Glycine betaine/proline transport system	PA3236
3	Ribosome, bacteria	PA4263;PA4274
3	Putative polar amino acid transport system	PA1256
3	Purine metabolism PAO1	PA4238
3	Methane metabolism PAO1	PA5421
3	Sulfur metabolism PAO1	PA0193;PA0184
3	C5-Branched dibasic acid metabolism PAO1	PA0882
4	Cytochrome c oxidase, cbb3-type	PA1556
4	Pentose phosphate pathway PAO1	PA3181;PA3182
4	Putative sorbitol/mannitol transport system	PA3187
4	Bacterial chemotaxis PAO1	PA1946
4	Type VI secretion system	PA0084
4	Glyoxylate and dicarboxylate metabolism PAO1	PA2444
4	Folate biosynthesis PAO1	PA3914;PA3870
4	Quorum sensing PAO1	PA3476;PA2570
4	Nitrogen metabolism PAO1	PA0523;PA0524;PA3875;PA3877;PA3876;PA3874;PA3872
4	Type III secretion system	PA1719;PA1691;PA1722;PA1701;PA1698;PA1695;PA1690;PA1697;PA1725;PA1723;PA1724;PA1694;PA1716;PA1717;PA1696;PA1693;PA1692;PA1703
5	Porphyrin and chlorophyll metabolism PAO1	PA4235
5	Sulfate-sulfur assimilation	PA1493
5	Type II general secretion pathway	PA0679
5	Arginine and proline metabolism PAO1	PA0202;PA4565;PA4908
5	Ribosome PAO1	PA3742;PA4567;PA4741;PA4254;PA4242
5	Tetrahydrofolate biosynthesis, GTP => THF	PA3438
5	Bacterial chemotaxis PAO1	PA1457
5	CusS-CusR (copper tolerance) two-component regulatory system	PA2810
5	Nicotinate and nicotinamide metabolism PAO1	PA3505;PA4006
5	Glycerophospholipid metabolism PAO1	PA3584
5	Peptidoglycan biosynthesis PAO1	PA5045
5	Tryptophan biosynthesis, chorismate => tryptophan	PA0650
5	Bacterial secretion system PAO1	PA2672;PA1867
5	Alanine, aspartate and glutamate metabolism PAO1	PA0296
5	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	PA3480
5	Histidine metabolism PAO1	PA5142
5	Lipopolysaccharide biosynthesis PAO1	PA4425
5	Flagellar assembly PAO1	PA1080
5	Glycine betaine/proline transport system	PA0030
5	Isoleucine biosynthesis, threonine => 2-oxobutanoate => isoleucine	PA4694
5	Putative polar amino acid transport system	PA5153
5	Spermidine/putrescine transport system	PA0203;PA0204;PA0205
5	Quorum sensing PAO1	PA0768
5	Purine metabolism PAO1	PA1013
5	Oxidative phosphorylation PAO1	PA4429;PA2640
5	Cationic antimicrobial peptide (CAMP) resistance PAO1	PA3227
5	Putrescine transport system	PA0301
5	Fatty acid biosynthesis PAO1	PA4089
6	Pyruvate metabolism PAO1	PA3416;PA1217
6	Arginine and proline metabolism PAO1	PA0704
6	Glycine, serine and threonine metabolism PAO1	PA5213;PA2445;PA2443;PA2446
6	Bacterial chemotaxis PAO1	PA0180;PA1930;PA0178;PA4290;PA0174;PA0175;PA0176
6	Propanoate metabolism PAO1	PA3568
6	Glyoxylate and dicarboxylate metabolism PAO1	PA2444;PA5508
6	Vanadium resistance, efflux pump MexGHI-OpmD	PA4205;PA4208
6	Bacterial secretion system PAO1	PA2373
6	SagS-HptB-HsbR (swarming activity and biofilm formation) two-component regulatory system	PA3346
6	Quorum sensing PAO1	PA1874;PA2570;PA1871
6	Pyrimidine metabolism PAO1	PA4646
6	Oxidative phosphorylation PAO1	PA0107;PA0106;PA0108;PA0105;PA0113;PA0112
6	Sulfur metabolism PAO1	PA2566
7	Porphyrin and chlorophyll metabolism PAO1	PA1923
7	Putative sorbitol/mannitol transport system	PA3187
7	Ribosome PAO1	PA3601;PA3600
7	Aminoglycoside resistance, protease FtsH	PA2438
7	Histidine metabolism PAO1	PA5100
7	Selenocompound metabolism PAO1	PA1927
7	Zinc transport system	PA5498;PA5501;PA5500
7	Vancomycin resistance PAO1	PA5302
