feature	pathway	gene_signature_definition
0	One carbon pool by folate PAO1	PA0342
0	Degradation of aromatic compounds PAO1	PA4486
0	Arginine and proline metabolism PAO1	PA0895
0	Type II general secretion pathway	PA0682
0	RNA degradation PAO1	PA3861
0	Phosphonate and phosphinate metabolism PAO1	PA1310
0	Glycerophospholipid metabolism PAO1	PA2584
0	gamma-Hexachlorocyclohexane transport system	PA3211
0	Folate biosynthesis PAO1	PA1674
0	Putative ABC transport system	PA2857
0	Caprolactam degradation PAO1	PA1631
0	Nitrogen metabolism PAO1	PA0102
0	Sulfur relay system PAO1	PA2607
0	Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine	PA0223
0	Pantothenate and CoA biosynthesis PAO1	PA0363
0	Glycolysis / Gluconeogenesis PAO1	PA5422
0	Iron complex transport system	PA4158
1	Pyruvate metabolism PAO1	PA1984
1	Urea transport system	PA4860
1	Putative sorbitol/mannitol transport system	PA3187
1	Type II general secretion pathway	PA3095
1	Cytochrome c oxidase, cbb3-type	PA1555
1	Valine, leucine and isoleucine degradation PAO1	PA2553;PA2013;PA2000;PA5313;PA2250;PA1999;PA3570;PA3569;PA2011
1	Tyrosine metabolism PAO1	PA2008;PA0865
1	Ribosome PAO1	PA0579
1	Propanoate metabolism PAO1	PA3568;PA0794;PA0795
1	Glyoxylate and dicarboxylate metabolism PAO1	PA0298
1	Mismatch repair PAO1	PA1529
1	Glycerophospholipid metabolism PAO1	PA2352
1	Alanine, aspartate and glutamate metabolism PAO1	PA5429
1	Styrene degradation PAO1	PA2009;PA3366
1	Butanoate metabolism PAO1	PA0266
1	Glycine betaine/proline transport system	PA3236
1	Amino sugar and nucleotide sugar metabolism PAO1	PA3159;PA3155
1	Purine metabolism PAO1	PA4969;PA3970
1	Nitrogen metabolism PAO1	PA0523
1	Chloroalkane and chloroalkene degradation PAO1	PA5421
1	Sulfur metabolism PAO1	PA3937;PA2105;PA1061
1	Lysine degradation PAO1	PA1586
2	Phosphotransferase system (PTS) PAO1	PA4464
2	Arginine biosynthesis PAO1	PA4865;PA5171;PA5172
2	Degradation of aromatic compounds PAO1	PA2508
2	Porphyrin and chlorophyll metabolism PAO1	PA0510;PA4235
2	Glycine, serine and threonine metabolism PAO1	PA2443
2	Valine, leucine and isoleucine degradation PAO1	PA2247;PA1999;PA2000;PA2248
2	Synthesis and degradation of ketone bodies PAO1	PA2003
2	Bacterial chemotaxis PAO1	PA0175;PA0177;PA1561;PA0176;PA0179
2	Propanoate metabolism PAO1	PA0835;PA0836
2	Phosphonate and phosphinate metabolism PAO1	PA4866
2	Aminobenzoate degradation PAO1	PA2514;PA2512;PA2513
2	Glyoxylate and dicarboxylate metabolism PAO1	PA4236;PA2446;PA5415;PA2250;PA2445;PA2442;PA2444;PA4811
2	Vitamin B6 metabolism PAO1	PA1049
2	Cysteine and methionine metabolism PAO1	PA4773;PA4774
2	Flagellar assembly PAO1	PA1094;PA1095;PA1092
2	Amino sugar and nucleotide sugar metabolism PAO1	PA3193
2	Putative polar amino acid transport system	PA4027
2	Quorum sensing PAO1	PA1002;PA0604;PA0295;PA0606;PA0605;PA1001;PA0603;PA4777
2	Nitrogen metabolism PAO1	PA1174;PA5173;PA3877;PA1173
2	ABC-2 type transport system	PA5230
2	Cationic antimicrobial peptide (CAMP) resistance, arnBCADTEF operon	PA3554;PA3558;PA3557
2	Pyrimidine metabolism PAO1	PA0403;PA5541;PA0402;PA1920;PA0401
2	Oxidative phosphorylation PAO1	PA1555;PA1317;PA1319;PA1318;PA1320;PA1556;PA1321
2	Lipopolysaccharide biosynthesis PAO1	PA3337
2	Cationic antimicrobial peptide (CAMP) resistance PAO1	PA3556;PA3552
2	Sulfur metabolism PAO1	PA0518;PA4130
2	Glycolysis / Gluconeogenesis PAO1	PA5427
3	Arginine biosynthesis PAO1	PA4865;PA5171;PA5172
3	Glycine, serine and threonine metabolism PAO1	PA4626
3	Type II general secretion pathway	PA3105
3	RNA degradation PAO1	PA4385;PA2976
3	Ribosome PAO1	PA4260;PA4433;PA4568;PA4246;PA4251;PA4240;PA4267;PA4262;PA4248
3	F-type ATPase, prokaryotes and chloroplasts	PA5559;PA5558
3	Ubiquinone and other terpenoid-quinone biosynthesis PAO1	PA0254
3	Alanine, aspartate and glutamate metabolism PAO1	PA5429
